Model,Baseline RMSE,Mean RMSE under Imperfect Conditions,Mean RMSE Degradation,Mean Degradation (%),Worst-Case RMSE,Worst-Case Degradation (%),Worst Condition,No. of Conditions with Lowest Relative Degradation
Linear Regression,929.178501935098,932.6262154692884,3.4477135341903855,0.3710496451446316,936.106580064648,0.7456132610818801,Missing 30% + Noise σ=3,15
Random Forest,316.02293880418364,379.89560183117754,63.87266302699389,20.211400877634112,422.7684533324777,33.77777414899507,Missing 30% + Noise σ=3,0
XGBoost,299.1661937088804,355.3256548436526,56.159461134772236,18.771994401687376,392.283369738594,31.12556765699478,Missing 30% + Noise σ=3,0
