Rank,Feature,Importance
1,meter,0.356575763432074
2,square_feet,0.2430709617949156
3,year_built,0.1432232176279441
4,dew_temperature,0.08838409608825398
5,hour,0.06154078798499453
6,month,0.0346933513895356
7,primary_use,0.020479048714214354
8,air_temperature,0.014507798402077627
9,sea_level_pressure,0.012865355031612844
10,wind_direction,0.00891788489672053
11,dayofweek,0.007353719383357689
12,wind_speed,0.006417926685153628
13,precip_depth_1_hr,0.0019700885691454647
